id,name,#OfVertices,#OfRealVertices,#OfEdges,#OfRealEdges,
51,viewClass_viewSchedule_email_studentAccess_teacherAccess_updateRecord_traceAttendanceActivity_QRCode,24,22,33,25
52,viewClass_viewSchedule_email_studentAccess_teacherAccess_updateRecord_viewRecord_traceAttendanceActivity_accessCard,26,24,36,27
53,viewClass_viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_viewRecord_traceAttendanceActivity_barcode,27,25,39,30
54,viewClass_viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_viewRecord_traceAttendanceActivity_fingerprint,26,24,36,27
55,viewClass_viewSchedule_email_studentAccess_teacherAccess_updateRecord_viewRecord_traceAttendanceActivity_QRCode,26,24,36,27
56,viewClass_viewSchedule_email_studentAccess_teacherAccess_updateRecord_monitorAttendanceStatus_traceAttendanceActivity_accessCard,25,23,35,26
57,viewClass_viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_monitorAttendanceStatus_traceAttendanceActivity_barcode,26,24,38,29
58,viewClass_viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_monitorAttendanceStatus_traceAttendanceActivity_fingerprint,25,23,35,26
59,viewClass_viewSchedule_email_studentAccess_teacherAccess_updateRecord_monitorAttendanceStatus_traceAttendanceActivity_QRCode,25,23,35,26
60,viewClass_viewSchedule_email_studentAccess_teacherAccess_updateRecord_viewRecord_monitorAttendanceStatus_traceAttendanceActivity_accessCard,27,25,38,28
61,viewClass_viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_viewRecord_monitorAttendanceStatus_traceAttendanceActivity_barcode,28,26,41,31
62,viewClass_viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_viewRecord_monitorAttendanceStatus_traceAttendanceActivity_fingerprint,27,25,38,28
63,viewClass_viewSchedule_email_studentAccess_teacherAccess_updateRecord_viewRecord_monitorAttendanceStatus_traceAttendanceActivity_QRCode,27,25,38,28
64,viewSchedule_email_studentAccess_teacherAccess_addNewClass_viewRecord_accessCard,23,21,35,28
65,viewSchedule_SMS_studentAccess_teacherAccess_addNewClass_viewRecord_barcode,24,22,38,31
66,viewSchedule_SMS_studentAccess_teacherAccess_addNewClass_viewRecord_fingerprint,23,21,35,28
67,viewSchedule_email_studentAccess_teacherAccess_addNewClass_viewRecord_QRCode,23,21,35,28
68,viewSchedule_email_teacherAccess_updateRecord_addNewClass_accessCard,23,21,34,27
69,viewSchedule_SMS_teacherAccess_updateRecord_addNewClass_barcode,24,22,37,30
70,viewSchedule_SMS_teacherAccess_updateRecord_addNewClass_fingerprint,23,21,34,27
71,viewSchedule_email_teacherAccess_updateRecord_addNewClass_QRCode,23,21,34,27
72,viewSchedule_email_studentAccess_teacherAccess_updateRecord_addNewClass_accessCard,25,23,38,31
73,viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_addNewClass_barcode,26,24,41,34
74,viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_addNewClass_fingerprint,25,23,38,31
75,viewSchedule_email_studentAccess_teacherAccess_updateRecord_addNewClass_QRCode,25,23,38,31
76,viewSchedule_email_studentAccess_teacherAccess_updateRecord_addNewClass_viewRecord_accessCard,27,25,41,33
77,viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_addNewClass_viewRecord_barcode,28,26,44,36
78,viewSchedule_SMS_studentAccess_teacherAccess_updateRecord_addNewClass_viewRecord_fingerprint,27,25,41,33
79,viewSchedule_email_studentAccess_teacherAccess_updateRecord_addNewClass_viewRecord_QRCode,27,25,41,33
80,viewSchedule_email_studentAccess_teacherAccess_addNewClass_monitorAttendanceStatus_accessCard,22,20,34,27
81,viewSchedule_SMS_studentAccess_teacherAccess_addNewClass_monitorAttendanceStatus_barcode,23,21,37,30
82,viewSchedule_SMS_studentAccess_teacherAccess_addNewClass_monitorAttendanceStatus_fingerprint,22,20,34,27
83,viewSchedule_email_studentAccess_teacherAccess_addNewClass_monitorAttendanceStatus_QRCode,22,20,34,27
84,viewSchedule_email_studentAccess_teacherAccess_addNewClass_viewRecord_monitorAttendanceStatus_accessCard,24,22,37,29
85,viewSchedule_SMS_studentAccess_teacherAccess_addNewClass_viewRecord_monitorAttendanceStatus_barcode,25,23,40,32
