Transformation,Generation,Composition,Total
5.84,10.0915,1.4501,17.3816
8.6954,13.48,1.3976,23.573
7.6106,12.4827,1.8902,21.9835
7.5609,17.0154,2.7167,27.293
8.8369,16.2177,2.9523,28.0069
9.8372,11.6345,1.7354,23.207099999999997
8.3088,15.0054,1.9643,25.2785
7.6624,16.1031,2.0784,25.8439
8.9916,18.9954,7.7564,35.7434
9.4774,17.6862,2.7489,29.912499999999998
6.77,17.3878,1.9364,26.094199999999997
11.6837,24.522,2.443,38.6487
