Transformation,Generation,Composition,Total
1.968,3.3313,0.4412,5.740500000000001
1.531001,2.6715,0.326301,4.528802
2.7364,4.580001,0.446801,7.763202000000001
1.516901,2.566801,0.4328,4.516502
1.9176,3.332,0.4441,5.6937
1.6427,4.659,0.405901,6.707601
2.7505,4.399099,0.4317,7.5812990000000005
2.1009,3.359901,0.433,5.893801
1.531899,3.0772,0.4783,5.087399
1.5193,2.5344,0.2839,4.3376
