Transformation,Generation,Composition,Total
4.9548,3.3416,0.6447,8.9411
5.093199,2.927999,0.5965,8.617698
5.853,2.3656,0.3985,8.6171
2.5015,1.698,0.3305,4.53
3.1002,1.3942,0.509,5.003400000000001
