Transformation,Generation,Composition,Total
1.7839,7.4431,0.5575,9.7845
1.512,1.3774,0.4132,3.3026
1.7828,1.767099,0.648199,4.198098
1.8854,1.6393,0.472,3.9967
1.727,1.3004,0.4097,3.4371
0.0224,1.0015,0.1824,1.2063000000000001
0.0265,1.0761,0.1878,1.2904
