Transformation,Generation,Composition,Total
6.376901,8.5416,1.471399,16.3899
1.9001,1.5961,0.575,4.0712
3.123599,1.244001,0.6689,5.036499999999999
6.8381,8.6499,1.3085,16.796499999999998
2.2356,1.6014,0.5912,4.4281999999999995
2.4104,1.0126,0.3902,3.8132
0.0367,1.2305,0.4325,1.6997
0.0505,1.4227,0.4711,1.9443000000000001
