Scenario ID,Existing Product,EP # of Features,EP Edge Size,Product Under Consideration,PUC # of Features,PUC Edge Size,Increment,Increment Edge Size,
93,viewClass_viewSchedule_email_studentAccess_monitorAttendanceStatus_accessCard,7,22,viewClass_viewSchedule_email_studentAccess_viewRecord_monitorAttendanceStatus_accessCard,8,25,viewRecord,5
94,viewClass_viewSchedule_SMS_studentAccess_monitorAttendanceStatus_barcode,7,25,viewClass_viewSchedule_SMS_studentAccess_teacherAccess_monitorAttendanceStatus_barcode,8,30,teacherAccess,7
95,viewClass_viewSchedule_SMS_studentAccess_monitorAttendanceStatus_barcode,7,25,viewClass_viewSchedule_SMS_studentAccess_viewRecord_monitorAttendanceStatus_barcode,8,28,viewRecord,5
96,viewClass_viewSchedule_SMS_studentAccess_monitorAttendanceStatus_fingerprint,7,22,viewClass_viewSchedule_SMS_studentAccess_teacherAccess_monitorAttendanceStatus_fingerprint,8,27,teacherAccess,7
97,viewClass_viewSchedule_SMS_studentAccess_monitorAttendanceStatus_fingerprint,7,22,viewClass_viewSchedule_SMS_studentAccess_viewRecord_monitorAttendanceStatus_fingerprint,8,25,viewRecord,5
98,viewClass_viewSchedule_email_studentAccess_monitorAttendanceStatus_QRCode,7,22,viewClass_viewSchedule_email_studentAccess_teacherAccess_monitorAttendanceStatus_QRCode,8,27,teacherAccess,7
99,viewClass_viewSchedule_email_studentAccess_monitorAttendanceStatus_QRCode,7,22,viewClass_viewSchedule_email_studentAccess_viewRecord_monitorAttendanceStatus_QRCode,8,25,viewRecord,5
280,viewSchedule_email_teacherAccess_updateRecord_addNewClass_accessCard,7,34,viewSchedule_email_studentAccess_teacherAccess_updateRecord_addNewClass_accessCard,8,38,studentAccess,6
281,viewSchedule_email_teacherAccess_updateRecord_addNewClass_accessCard,7,34,viewSchedule_email_teacherAccess_updateRecord_addNewClass_traceAttendanceActivity_accessCard,8,36,traceAttendanceActivity,4
282,viewSchedule_email_teacherAccess_updateRecord_addNewClass_accessCard,7,34,viewClass_viewSchedule_email_teacherAccess_updateRecord_addNewClass_accessCard,8,37,viewClass,5
283,viewSchedule_email_teacherAccess_updateRecord_addNewClass_accessCard,7,34,viewSchedule_email_teacherAccess_updateRecord_addNewClass_updateClassDetail_accessCard,8,43,updateClassDetail,11
