Reduction Time(ms)
11,49
6,4
8,67
6,92
7,65
7,11
7,56
7,12
6,6
6,66
41.22
17.99
16.06
8.36
12.85
37.49
8.63
8.9
9.89
8.54
8.67
8.34
9.2
9.07
9.05
