Number of nodes: 44
Number of edges: 207
Number of CESs: 99
Number of events: 769
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	enter the days of the class, enter the hours of the class, enter the hours of the class, enter the days of the class
1	enter the days of the class, enter the hours of the class, enter the hours of the class, submit the class schedule
3	enter the days of the class, enter the hours of the class, enter the hours of the class, enter the hours of the class
2	add new schedule, enter the hours of the class, enter the days of the class, enter the hours of the class
1	add new schedule, enter the hours of the class, enter the days of the class, submit the class schedule
1	add new schedule, enter the hours of the class, enter the days of the class, enter the days of the class
1	add new schedule, enter the hours of the class, enter the hours of the class, enter the days of the class
2	add new schedule, enter the hours of the class, enter the hours of the class, submit the class schedule
1	add new schedule, enter the hours of the class, enter the hours of the class, enter the hours of the class
1	enter the hours of the class, enter the days of the class, enter the hours of the class, enter the days of the class
1	enter the hours of the class, enter the days of the class, enter the hours of the class, submit the class schedule
2	enter the hours of the class, enter the days of the class, enter the hours of the class, enter the hours of the class
1	enter the hours of the class, enter the days of the class, enter the days of the class, enter the hours of the class
1	enter the hours of the class, enter the days of the class, enter the days of the class, submit the class schedule
1	enter the hours of the class, enter the days of the class, enter the days of the class, enter the days of the class
1	enter the days of the class, enter the days of the class, enter the hours of the class, enter the days of the class
1	enter the days of the class, enter the days of the class, enter the hours of the class, submit the class schedule
2	enter the days of the class, enter the days of the class, enter the hours of the class, enter the hours of the class
1	enter the days of the class, enter the days of the class, enter the days of the class, enter the hours of the class
1	enter the days of the class, enter the days of the class, enter the days of the class, submit the class schedule
1	enter the days of the class, enter the days of the class, enter the days of the class, enter the days of the class
1	enter the hours of the class, enter the hours of the class, enter the days of the class, enter the hours of the class
1	enter the hours of the class, enter the hours of the class, enter the days of the class, submit the class schedule
1	enter the hours of the class, enter the hours of the class, enter the days of the class, enter the days of the class
1	enter the hours of the class, enter the hours of the class, enter the hours of the class, enter the days of the class
3	enter the hours of the class, enter the hours of the class, enter the hours of the class, submit the class schedule
3	enter the hours of the class, enter the hours of the class, enter the hours of the class, enter the hours of the class
3	turn editing on, add new schedule, enter the days of the class, enter the hours of the class
1	turn editing on, add new schedule, enter the days of the class, submit the class schedule
3	turn editing on, add new schedule, enter the days of the class, enter the days of the class
3	turn editing on, add new schedule, enter the hours of the class, enter the days of the class
1	turn editing on, add new schedule, enter the hours of the class, submit the class schedule
3	turn editing on, add new schedule, enter the hours of the class, enter the hours of the class
1	update the days of the class, update the days of the class, update the days of the class, update the days of the class
1	update the days of the class, update the days of the class, update the days of the class, submit the class schedule
3	update the hours of the class, update the hours of the class, update the hours of the class, update the hours of the class
3	update the hours of the class, update the hours of the class, update the hours of the class, submit the class schedule
1	select the editable schedule, update the days of the class, update the days of the class, update the days of the class
1	select the editable schedule, update the days of the class, update the days of the class, submit the class schedule
1	select the editable schedule, update the hours of the class, update the hours of the class, update the hours of the class
2	select the editable schedule, update the hours of the class, update the hours of the class, submit the class schedule
3	turn editing on, select the editable schedule, update the days of the class, update the days of the class
1	turn editing on, select the editable schedule, update the days of the class, submit the class schedule
3	turn editing on, select the editable schedule, update the hours of the class, update the hours of the class
1	turn editing on, select the editable schedule, update the hours of the class, submit the class schedule
1	assign schedule, select the editable schedule, update the days of the class, update the days of the class
1	assign schedule, select the editable schedule, update the days of the class, submit the class schedule
1	assign schedule, select the editable schedule, update the hours of the class, update the hours of the class
1	assign schedule, select the editable schedule, update the hours of the class, submit the class schedule
1	assign schedule, add new schedule, enter the days of the class, enter the hours of the class
1	assign schedule, add new schedule, enter the days of the class, submit the class schedule
1	assign schedule, add new schedule, enter the days of the class, enter the days of the class
1	assign schedule, add new schedule, enter the hours of the class, enter the days of the class
1	assign schedule, add new schedule, enter the hours of the class, submit the class schedule
1	assign schedule, add new schedule, enter the hours of the class, enter the hours of the class
2	log in, open notification settings, receive notifications as SMS, confirm notification settings
1	turn editing on, open student attendance records, open class records, select the existing schedule
2	turn editing on, open student attendance records, open class records, select the existing class
1	turn editing on, open student attendance records, select a class-list attendance record, edit attendance status
1	turn editing on, open student attendance records, select a class-list attendance record, trace attendance activity of the class
1	turn editing on, open student attendance records, select an editable student-record, edit attendance status
1	open student attendance records, open class records, select the existing schedule, view schedule
2	open student attendance records, open class records, select the existing class, view class
1	open student attendance records, select a class-list attendance record, edit attendance status, submit attendance record update
1	open student attendance records, select an editable student-record, edit attendance status, submit attendance record update
2	log in, access as a student, open my attendance records, select the existing record
1	log in, access as a student, open my attendance records, monitor current attendance status
1	log in, access as a student, open class records, select the existing schedule
2	log in, access as a student, open class records, select the existing class
2	access as a student, open my attendance records, select the existing record, view record
1	access as a student, open class records, select the existing schedule, view schedule
2	access as a student, open class records, select the existing class, view class
1	show the barcode to the barcodereader, show the barcode to the barcodereader, show the barcode to the barcodereader, show the barcode to the barcodereader
1	show the barcode to the barcodereader, show the barcode to the barcodereader, show the barcode to the barcodereader, enter barcode manually
1	show the barcode to the barcodereader, show the barcode to the barcodereader, show the barcode to the barcodereader, confirm your identity
2	show the barcode to the barcodereader, show the barcode to the barcodereader, enter barcode manually, confirm your identity
2	submit attendance, show the barcode to the barcodereader, show the barcode to the barcodereader, show the barcode to the barcodereader
1	submit attendance, show the barcode to the barcodereader, show the barcode to the barcodereader, enter barcode manually
1	submit attendance, show the barcode to the barcodereader, show the barcode to the barcodereader, confirm your identity
1	submit attendance, show the barcode to the barcodereader, enter barcode manually, confirm your identity
0	Number of uncovered edges 
